Suburb,Type,Price,Distance,Zipcode,#Bedroom,#Bathroom,#-Car Garage,Lot_size,Region_name,Property_count
Abbotsford,h,1165000,2.5,3067,3,2,0,92,Northern Metropolitan,4019
Abbotsford,h,1050000,2.5,3067,2,1,0,129,Northern Metropolitan,4019
Abbotsford,h,1465000,2.5,3067,3,2,0,134,Northern Metropolitan,4019
Abbotsford,h,911000,3,3067,2,1,0,141,Northern Metropolitan,4019
Abbotsford,h,1635000,3,3067,3,1,0,142,Northern Metropolitan,4019
Abbotsford,h,1315000,2.5,3067,2,1,0,147,Northern Metropolitan,4019
Abbotsford,h,1035000,2.5,3067,2,1,0,156,Northern Metropolitan,4019
Abbotsford,h,1180000,2.5,3067,2,1,0,162,Northern Metropolitan,4019
Abbotsford,h,941000,2.5,3067,2,1,0,181,Northern Metropolitan,4019
Abbotsford,h,1012500,2.5,3067,2,1,0,182,Northern Metropolitan,4019
Abbotsford,h,955000,2.5,3067,3,1,0,183,Northern Metropolitan,4019
Abbotsford,h,1000000,2.5,3067,3,1,0,198,Northern Metropolitan,4019
Abbotsford,h,1876000,2.5,3067,4,2,0,245,Northern Metropolitan,4019
Abbotsford,h,1375000,3,3067,3,1,0,299,Northern Metropolitan,4019
Abbotsford,h,940000,3,3067,2,1,0,424,Northern Metropolitan,4019
Abbotsford,h,855000,3,3067,3,2,1,92,Northern Metropolitan,4019
Abbotsford,h,850000,2.5,3067,3,2,1,94,Northern Metropolitan,4019
Abbotsford,h,1200000,2.5,3067,3,2,1,113,Northern Metropolitan,4019
Abbotsford,h,1195000,2.5,3067,3,2,1,120,Northern Metropolitan,4019
Abbotsford,h,1100000,2.5,3067,2,2,1,124,Northern Metropolitan,4019
Abbotsford,h,1176500,2.5,3067,2,1,1,138,Northern Metropolitan,4019
Abbotsford,h,1190000,3,3067,2,2,1,147,Northern Metropolitan,4019
Abbotsford,h,890000,2.5,3067,2,1,1,150,Northern Metropolitan,4019
